date,open,high,low,close,volume,average,barCount
2025-02-10 09:30:00-05:00,198.69,198.69,194.45,194.78,336788.0,195.598,2465
2025-02-10 10:00:00-05:00,194.71,195.15,193.95,195.01,242246.0,194.692,1840
2025-02-10 10:30:00-05:00,195.08,195.15,194.06,194.31,160483.0,194.492,1345
2025-02-10 11:00:00-05:00,194.31,194.85,194.04,194.66,106213.0,194.454,794
2025-02-10 11:30:00-05:00,194.63,195.37,194.05,195.16,152738.0,194.617,1041
2025-02-10 12:00:00-05:00,195.24,195.56,194.8,195.17,111567.0,195.163,901
2025-02-10 12:30:00-05:00,195.17,195.59,195.09,195.45,109579.0,195.319,826
2025-02-10 13:00:00-05:00,195.45,195.45,194.94,195.04,143360.0,195.13,1043
2025-02-10 13:30:00-05:00,194.99,195.81,194.9,195.6,169631.0,195.295,1263
2025-02-10 14:00:00-05:00,195.59,195.64,194.77,194.77,146620.0,195.236,1213
2025-02-10 14:30:00-05:00,194.77,195.06,194.52,194.52,176579.0,194.761,1335
2025-02-10 15:00:00-05:00,194.52,194.56,193.86,194.04,267678.0,194.163,1695
2025-02-10 15:30:00-05:00,194.07,194.25,192.39,192.62,642378.0,193.201,4460
