date,open,high,low,close,volume,average,barCount
2025-01-30 09:30:00-05:00,187.2,189.24,186.99,188.76,226719.0,188.397,1283
2025-01-30 10:00:00-05:00,188.81,189.0,187.08,187.08,80835.0,187.892,594
2025-01-30 10:30:00-05:00,187.09,187.72,186.31,186.48,84845.0,187.207,622
2025-01-30 11:00:00-05:00,186.28,187.86,186.26,187.77,70171.0,186.772,426
2025-01-30 11:30:00-05:00,187.77,188.39,187.42,188.21,40266.0,187.853,330
2025-01-30 12:00:00-05:00,188.18,188.2,187.33,187.4,55967.0,187.827,399
2025-01-30 12:30:00-05:00,187.46,188.15,187.34,188.14,61117.0,187.701,442
2025-01-30 13:00:00-05:00,188.08,188.53,187.9,188.42,57837.0,188.277,412
2025-01-30 13:30:00-05:00,188.43,189.19,188.39,188.73,59718.0,188.848,480
2025-01-30 14:00:00-05:00,188.67,188.83,188.6,188.71,35228.0,188.708,312
2025-01-30 14:30:00-05:00,188.71,188.99,188.45,188.9,46852.0,188.728,372
2025-01-30 15:00:00-05:00,188.83,189.0,188.6,188.61,52520.0,188.803,431
2025-01-30 15:30:00-05:00,188.65,188.66,187.2,188.57,273290.0,188.107,2243
