date,open,high,low,close,volume,average,barCount
2024-08-20 09:30:00-04:00,33.17,33.25,32.34,32.51,268995.0,32.823,1235
2024-08-20 10:00:00-04:00,32.5,32.66,32.18,32.22,112808.0,32.452,818
2024-08-20 10:30:00-04:00,32.22,32.54,32.18,32.36,109026.0,32.335,799
2024-08-20 11:00:00-04:00,32.38,32.5,32.37,32.5,133181.0,32.452,756
2024-08-20 11:30:00-04:00,32.5,32.68,32.45,32.67,110452.0,32.528,618
2024-08-20 12:00:00-04:00,32.67,32.74,32.55,32.69,64408.0,32.657,450
2024-08-20 12:30:00-04:00,32.7,32.76,32.65,32.65,65780.0,32.702,539
2024-08-20 13:00:00-04:00,32.64,32.73,32.56,32.72,65519.0,32.641,523
2024-08-20 13:30:00-04:00,32.73,33.02,32.72,33.02,157156.0,32.908,845
2024-08-20 14:00:00-04:00,33.01,33.15,33.0,33.06,95711.0,33.072,749
2024-08-20 14:30:00-04:00,33.07,33.33,33.07,33.29,94708.0,33.23,657
2024-08-20 15:00:00-04:00,33.29,33.31,33.13,33.16,124943.0,33.201,973
2024-08-20 15:30:00-04:00,33.16,33.29,33.03,33.05,507016.0,33.139,3292
