date,open,high,low,close,volume,average,barCount
2024-09-19 09:30:00-04:00,40.26,40.77,39.9,40.57,284781.0,40.342,1394
2024-09-19 10:00:00-04:00,40.57,40.9,40.47,40.84,466173.0,40.649,933
2024-09-19 10:30:00-04:00,40.86,40.99,40.71,40.82,460152.0,40.799,1047
2024-09-19 11:00:00-04:00,40.82,40.97,40.65,40.77,175824.0,40.824,679
2024-09-19 11:30:00-04:00,40.78,41.22,40.7,41.11,191722.0,40.982,968
2024-09-19 12:00:00-04:00,41.11,41.35,41.1,41.27,236230.0,41.246,1311
2024-09-19 12:30:00-04:00,41.27,41.5,41.23,41.45,188717.0,41.38,1180
2024-09-19 13:00:00-04:00,41.45,41.65,41.43,41.55,165600.0,41.501,850
2024-09-19 13:30:00-04:00,41.56,41.61,41.49,41.54,108904.0,41.539,722
2024-09-19 14:00:00-04:00,41.53,41.72,41.48,41.72,236582.0,41.614,1409
2024-09-19 14:30:00-04:00,41.72,41.83,41.28,41.49,444500.0,41.601,2170
2024-09-19 15:00:00-04:00,41.48,41.6,41.27,41.58,221687.0,41.436,1425
2024-09-19 15:30:00-04:00,41.58,41.86,41.41,41.84,968350.0,41.712,5361
