date,open,high,low,close,volume,average,barCount
2024-10-11 09:30:00-04:00,42.87,43.75,42.87,43.01,159169.0,43.283,781
2024-10-11 10:00:00-04:00,42.99,43.24,42.77,42.79,115547.0,43.034,698
2024-10-11 10:30:00-04:00,42.79,43.04,42.75,42.93,62733.0,42.862,423
2024-10-11 11:00:00-04:00,42.91,43.22,42.8,43.22,39340.0,42.974,265
2024-10-11 11:30:00-04:00,43.21,43.43,43.15,43.43,42050.0,43.258,289
2024-10-11 12:00:00-04:00,43.41,43.41,43.2,43.37,29673.0,43.298,240
2024-10-11 12:30:00-04:00,43.39,43.41,43.23,43.35,50016.0,43.324,277
2024-10-11 13:00:00-04:00,43.36,43.59,43.23,43.35,94884.0,43.38,567
2024-10-11 13:30:00-04:00,43.35,43.47,43.21,43.29,38657.0,43.34,316
2024-10-11 14:00:00-04:00,43.3,43.43,43.23,43.38,72763.0,43.32,549
2024-10-11 14:30:00-04:00,43.37,43.45,43.3,43.3,54925.0,43.378,353
2024-10-11 15:00:00-04:00,43.3,43.46,43.2,43.21,83743.0,43.348,619
2024-10-11 15:30:00-04:00,43.21,43.66,43.2,43.61,242875.0,43.482,1644
