date,open,high,low,close,volume,average,barCount
2024-09-12 09:30:00-04:00,35.38,35.93,35.23,35.71,206138.0,35.608,1224
2024-09-12 10:00:00-04:00,35.76,36.45,35.63,36.01,439321.0,36.056,1682
2024-09-12 10:30:00-04:00,36.01,36.08,35.77,35.9,143675.0,35.935,985
2024-09-12 11:00:00-04:00,35.94,36.17,35.79,36.13,182151.0,35.992,843
2024-09-12 11:30:00-04:00,36.13,36.18,35.92,35.95,122182.0,36.012,525
2024-09-12 12:00:00-04:00,35.95,36.19,35.91,36.14,179799.0,36.069,869
2024-09-12 12:30:00-04:00,36.12,36.34,36.06,36.28,130776.0,36.156,502
2024-09-12 13:00:00-04:00,36.28,36.31,36.07,36.16,250861.0,36.179,851
2024-09-12 13:30:00-04:00,36.19,36.29,36.08,36.29,111575.0,36.177,393
2024-09-12 14:00:00-04:00,36.29,36.33,36.07,36.17,468261.0,36.146,1158
2024-09-12 14:30:00-04:00,36.17,36.29,35.98,36.22,200467.0,36.145,1044
2024-09-12 15:00:00-04:00,36.22,36.35,36.1,36.29,194717.0,36.233,860
2024-09-12 15:30:00-04:00,36.29,36.35,36.07,36.31,288523.0,36.236,1724
