date,open,high,low,close,volume,average,barCount
2024-10-10 09:30:00-04:00,43.84,43.84,42.63,42.79,236903.0,42.964,935
2024-10-10 10:00:00-04:00,42.79,42.84,42.49,42.66,158445.0,42.633,1014
2024-10-10 10:30:00-04:00,42.68,42.68,42.26,42.43,114262.0,42.42,641
2024-10-10 11:00:00-04:00,42.45,42.86,42.4,42.68,118213.0,42.704,490
2024-10-10 11:30:00-04:00,42.66,42.81,42.51,42.52,65025.0,42.646,289
2024-10-10 12:00:00-04:00,42.52,42.68,42.51,42.65,55430.0,42.588,340
2024-10-10 12:30:00-04:00,42.64,42.75,42.53,42.59,50707.0,42.631,352
2024-10-10 13:00:00-04:00,42.61,42.63,42.44,42.55,65535.0,42.521,410
2024-10-10 13:30:00-04:00,42.55,42.57,42.3,42.5,59129.0,42.439,466
2024-10-10 14:00:00-04:00,42.5,42.85,42.43,42.8,100993.0,42.625,609
2024-10-10 14:30:00-04:00,42.78,42.83,42.65,42.66,70935.0,42.742,484
2024-10-10 15:00:00-04:00,42.65,42.92,42.5,42.9,127990.0,42.691,670
2024-10-10 15:30:00-04:00,42.9,43.04,42.69,42.73,411437.0,42.805,2752
