date,open,high,low,close,volume,average,barCount
2024-08-26 09:30:00-04:00,35.54,36.14,35.52,36.11,286850.0,35.834,966
2024-08-26 10:00:00-04:00,36.11,36.28,35.95,36.02,107346.0,36.113,630
2024-08-26 10:30:00-04:00,36.02,36.3,35.83,36.27,131516.0,36.05,887
2024-08-26 11:00:00-04:00,36.27,36.53,36.1,36.44,142002.0,36.343,936
2024-08-26 11:30:00-04:00,36.44,36.95,36.42,36.88,224966.0,36.716,1388
2024-08-26 12:00:00-04:00,36.85,37.32,36.84,37.17,277540.0,37.097,1543
2024-08-26 12:30:00-04:00,37.19,37.21,37.05,37.09,76716.0,37.136,518
2024-08-26 13:00:00-04:00,37.09,37.13,36.7,36.78,151905.0,36.85,922
2024-08-26 13:30:00-04:00,36.76,36.83,36.47,36.49,109890.0,36.663,682
2024-08-26 14:00:00-04:00,36.48,36.49,36.26,36.44,145982.0,36.347,856
2024-08-26 14:30:00-04:00,36.44,36.58,36.38,36.44,99606.0,36.458,688
2024-08-26 15:00:00-04:00,36.44,36.47,36.22,36.23,121382.0,36.332,731
2024-08-26 15:30:00-04:00,36.22,36.48,36.16,36.37,385030.0,36.337,2482
