Date,Open,High,Low,Close,Volume
2024-03-27,115,135,115,131.25,4960400
2024-03-28,137.93,137.93,129.96,136.75,2239100
2024-04-01,141.01,144.33,137.07,142.02,1029500
2024-04-02,142.85,152.48,138.64,140,18202667
2024-04-03,142.3,144,135.8,137.34,8855212
2024-04-04,136,139.35,125.26,126.06,14105730
2024-04-05,125.5,128.18,119,122.7,15985192
2024-04-08,126.13,131.95,125.86,129.96,11671134
2024-04-09,130.87,133.6,128.25,132.17,8524207
2024-04-10,129.5,139.93,128.94,138.37,8376809
2024-04-11,139.2,139.32,136.41,136.57,5326943
2024-04-12,135,138.11,133.555,134,3765246
2024-04-15,134.6,135.32,129.85,131.75,3724891
2024-04-16,132.5,133.05,128.25,130.07,5870930
2024-04-17,132.04,138.18,131.25,134.75,6154554
2024-04-18,138.15,138.41,135.43,137.22,5022268
2024-04-19,137.25,140.59,134.905,135.1,4518763
2024-04-22,135.52,137.14,132.11,136.69,2435104
2024-04-23,138.46,148.35,137.87,147.83,4682814
2024-04-24,147,149.9,144.35,146.18,4684613
2024-04-25,143,152.14,138.6725,148.31,6069264
2024-04-26,153.64,157.25,150.2,153.07,4230515
2024-04-29,153.58,159.55,153.58,159.01,5937215
2024-04-30,158.14,163.1,152.25,153.71,3490075
2024-05-01,154.19,156.7,149.4207,151.67,3397459
2024-05-02,153.53,155.44,151.6589,153.83,2530741
2024-05-03,155.63,167.17,155.14,166.26,4635134
2024-05-06,167.16,171.17,164.51,169.14,4007044
2024-05-07,168.66,173.5,167.165,167.36,2884150
2024-05-08,167,167.01,163.225,164,3679684
2024-05-09,165,168.72,164.65,166.4,4022569
2024-05-10,169,170.8,165.99,167.27,3459622
2024-05-13,165,167.55,160.18,161.53,4413798
2024-05-14,160.69,166.555,158.86,165.63,3855420
2024-05-15,168.36,172.35,166.956,167.87,2572025
2024-05-16,168.03,170,166.35,166.4,1604395
2024-05-17,166.88,167.64,160.94,162.62,1937153
2024-05-20,163.06,164.3,160.21,160.95,1736122
2024-05-21,160.24,164.49,159.07,163.93,1945469
2024-05-22,164.29,167.36,163,163.85,2018868
2024-05-23,166.42,170,161.44,161.67,3139003
2024-05-24,162.81,177.7695,162.09,177.43,4294052
2024-05-28,178.34,182.78,176.78,178.09,2632749
2024-05-29,176,178.69,174.0962,177.32,1537710
2024-05-30,176.97,177.81,174.5,175.08,2043133
2024-05-31,177.1,179.765,165.4,175.9,5454904
2024-06-03,178.93,179,166.44,170.37,3434765
2024-06-04,168.35,169.41,161.33,163.04,5279783
2024-06-05,165.09,168.3,162.47,163.49,8005543
2024-06-06,163.25,164.13,155.5,160.31,5249018
2024-06-07,159.5,165.76,159.04,162.08,4850297
2024-06-10,161.22,170,160.5984,166.64,4224304
2024-06-11,165.5,168.54,163.3,168.23,2036122
2024-06-12,171.54,179.22,171.155,177.52,4016501
2024-06-13,179.8,181.96,172.84,176.17,3462158
2024-06-14,174.09,174.78,166.2,170.17,3128342
2024-06-17,169.75,171.88,166.15,168.76,2804196
2024-06-18,167.94,180.25,166.33,179.57,3364919
2024-06-20,178.47,185.5,175.095,177.18,4005304
2024-06-21,177.1,177.18,170.4,175.73,3876954
2024-06-24,176.55,179.15,174.77,178.14,2552892
2024-06-25,179.8,181.5,176.27,181.45,2554030
2024-06-26,180.89,181.725,177.62,180,2283955
2024-06-27,178.39,179.2729,173.25,176.28,2541263
2024-06-28,174.8,176.3,167.175,171.51,3783554
2024-07-01,171,171.2,165.12,167.52,2748335
2024-07-02,165.41,171.98,165.41,169.81,2447440
2024-07-03,170.1,174.78,169.18,172.68,1317151
2024-07-05,171.5,177.44,171.26,176.23,1629585
2024-07-08,176.81,178.6,174.17,174.37,1659343
2024-07-09,174.28,174.83,172.6,172.98,1801065
2024-07-10,174.93,179.8,174.6,179.73,1835670
2024-07-11,181,183.16,176.55,176.7,2574654
2024-07-12,177.95,184.331,174.4,180.45,1603909
2024-07-15,180.24,181.8099,176.5,177.44,3026614
2024-07-16,178.78,183.89,178.18,182.74,1789742
2024-07-17,180.2,180.2,162.9,165.83,6033756
2024-07-18,168,171.45,159.43,161.49,4736552
2024-07-19,162,163.69,159.11,163.34,2547792
2024-07-22,166.38,168.25,163.6839,166.76,1738608
2024-07-23,167,171.01,166.22,170.49,3221764
2024-07-24,167.34,172.3,162.73,162.9,5532133
2024-07-25,166,166.29,156.41,160,5163169
2024-07-26,168.46,173.9755,163.69,173.11,3871920
2024-07-29,174.32,174.77,169.85,172.05,1757967
2024-07-30,172.93,174.07,162.45,162.7,2639331
2024-07-31,171.25,180.255,171.25,178.24,4056500
2024-08-01,181.9,183.86,171.81,174.03,3706765
2024-08-02,168.78,169.99,161.5,164.73,3314487
2024-08-05,152.405,165.39,150.01,162.24,3700451
2024-08-06,163.08,166.465,160,164.35,2800031
2024-08-07,168.66,172.75,164.69,166.07,3312842
2024-08-08,169.2,177.46,165.05,177.21,2755834
2024-08-09,176.52,179.55,172.6,179.11,2766628
2024-08-12,178.49,180.5,174.39,176.44,1797785
2024-08-13,178.05,180.26,175.315,179.65,1552036
2024-08-14,180,185.19,178.25,184.16,2242670
2024-08-15,185.5,190.7999,181.61,188.82,3477950
2024-08-16,188.72,188.82,180.3907,184.06,2718507
2024-08-19,184.1,185.51,181.215,185.4,1626853
2024-08-20,184.96,186,181.68,184,1138332
2024-08-21,183.47,185.24,181.81,184.26,1601541
2024-08-22,185,186.745,182.31,186,2067915
2024-08-23,180.8,183.56,173.07,183.29,4872683
2024-08-26,181.48,183.27,179.19,182.13,2177004
2024-08-27,181,187.1,180.49,185.55,1613268
2024-08-28,183.85,185.37,180.77,184,2067683
2024-08-29,186,195.68,185.355,191.36,3155472
2024-08-30,195.86,201.3696,194.2,201,3347707
2024-09-03,200,202.6,187.5479,192.55,4275304
2024-09-04,193.03,204.19,192.1223,199.63,3723058
2024-09-05,197.09,200.73,194.27,198.44,3064325
2024-09-06,198.99,201.18,193.38,198.33,3884686
2024-09-09,200.01,202.93,197.38,201.81,1654895
2024-09-10,202.74,203,199.14,202.01,1894687
2024-09-11,204.1,210.12,201.5,209.15,3787508
2024-09-12,200,217.09,199.65,215.27,4042215
2024-09-13,220.65,228.6765,219.01,225.59,3697548
2024-09-16,227.88,231.51,225.24,229.93,2334854
2024-09-17,237.67,240,233.51,237.15,5143950
2024-09-18,238.62,241.5185,234,235.67,3255887
2024-09-19,243.305,245,238.11,244.45,3060826
2024-09-20,243.23,250.8494,242.25,245.46,4111410
2024-09-23,247.825,254.87,246.79,251.53,3336725
2024-09-24,254,257.5,252.12,255.48,3804409
2024-09-25,257.1,257.75,252.17,255.05,2454244
2024-09-26,257.76,258.64,247.07,251.22,2817719
2024-09-27,250.76,254.43,249.58,249.86,2293570
2024-09-30,251,255.35,248.96,254.98,3374184
2024-10-01,256,257.5999,251.1,256.53,2304083
2024-10-02,251,257.5299,248.5,252.29,2769650
2024-10-03,253.15,257.24,250.89,254.68,1913736
2024-10-04,257,266.42,253.23,265.59,3159216
2024-10-07,265.41,265.98,260.52,262.54,1925059
2024-10-08,264.03,266.556,262.25,264.27,1671943
2024-10-09,264.5,269.2977,262.88,266.6,1891695
2024-10-10,264,266.55,261.79,264.62,1795789
2024-10-11,263.75,270.11,261.05,266.89,1848390
2024-10-14,267.26,270.83,265.6901,269.5,1822285
2024-10-15,270,270.87,260.05,266.36,2190164
2024-10-16,268.9,276.19,267.69,274.77,1844916
2024-10-17,279.24,281.3732,271.89,272,2510144
2024-10-18,273.69,275.3,271.35,272.72,2353706
2024-10-21,277,277.6,272.28,276.43,2569958
2024-10-22,271,278.29,270.545,276.42,2631832
2024-10-23,273.71,282.97,268.5,279.88,4244597
2024-10-24,285.81,297.54,283,297,3620065
2024-10-25,295.39,298.81,292.395,293.54,2087779
2024-10-28,295.74,295.94,288.0801,289.23,2231616
2024-10-29,288,298.96,284.1,298.77,2030580
2024-10-30,300,301.53,294.67,297.6,2085187
2024-10-31,300,303.709,296.0201,301.66,2550666
2024-11-01,305,311.58,300.52,301.09,2702214
2024-11-04,298,301.5,292.54,295.46,2070478
2024-11-05,295.85,316.4499,294.87,315.77,3461434
2024-11-06,321.16,338.58,319,336.3,4486408
